"NEWID","UCC","AMOUNT","AMOUNT_","PUB_FLAG"
2825881,"980281",100,,"1"
2825881,"980286",100,,"1"
2825881,"980310",100,,"1"
2825881,"980330",100,,"1"
2825882,"900000",12320,,"1"
2825882,"900170",1624,,"1"
2825882,"950003",850,,"1"
2825882,"950013",850,,"1"
2825882,"980000",13944,,"1"
2825882,"980010",1,,"1"
2825882,"980020",59,,"1"
2825882,"980030",1,,"1"
2825882,"980040",1,,"1"
2825882,"980070",12244,,"1"
2825882,"980090",100,,"1"
2825882,"980220",100,,"1"
2825882,"980230",100,,"1"
2825882,"980281",100,,"1"
2825882,"980286",100,,"1"
2825882,"980310",100,,"1"
2825882,"980330",100,,"1"
2825891,"900000",25000,,"1"
2825891,"900190",7400,,"1"
2825891,"950001",-300,,"1"
