"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","QFCD3MCX","QFCD_MCX"
"20151",2904813,59,0,"1",.,"A"
"20151",2904835,51,0,"1",.,"A"
"20151",2904843,39,0,"1",.,"A"
"20151",2904873,13,0,"1",.,"A"
"20151",2904883,34,0,"1",.,"A"
"20151",2904893,13,0,"1",.,"A"
"20151",2904903,40,0,"1",.,"A"
"20151",2904933,27,0,"1",.,"A"
"20151",2904953,21,0,"1",.,"A"
"20151",2905003,23,0,"1",.,"A"
"20151",2905043,41,0,"1",.,"A"
"20151",2905053,64,0,"1",.,"A"
"20151",2905063,12,0,"1",.,"A"
"20151",2905083,55,0,"1",.,"A"
"20151",2905093,34,0,"1",30,"D"
"20151",2905103,30,0,"1",40,"D"
"20151",2905113,37,0,"1",.,"A"
"20151",2905143,55,0,"1",.,"A"
"20151",2905153,8,0,"1",.,"A"
"20151",2905163,23,0,"1",.,"A"
"20151",2905173,21,0,"1",.,"A"
"20151",2905183,73,0,"1",.,"A"
"20151",2905203,7,0,"1",.,"A"
"20151",2905223,21,0,"1",.,"A"
"20151",2905243,15,0,"1",.,"A"
"20151",2905253,54,0,"1",.,"A"
"20151",2905273,25,0,"1",.,"A"
"20151",2905283,32,0,"1",.,"A"
"20151",2905303,48,0,"1",300,"D"
"20151",2905333,52,0,"1",.,"A"
"20151",2905343,59,0,"1",.,"A"
"20151",2905353,63,0,"1",.,"A"
"20151",2905363,19,0,"1",.,"A"
"20151",2905383,32,0,"1",.,"A"
"20151",2905423,45,0,"1",.,"A"
"20151",2905443,32,0,"1",.,"A"
"20151",2905483,70,0,"1",.,"A"
"20151",2905513,39,0,"1",.,"A"
"20151",2905543,36,0,"1",.,"A"
"20151",2905573,30,0,"1",.,"A"
"20151",2905583,19,0,"1",.,"A"
"20151",2905593,22,0,"1",.,"A"
"20151",2905603,21,0,"1",.,"A"
"20151",2905613,70,0,"1",.,"A"
"20151",2905623,63,0,"1",.,"A"
"20151",2905643,38,0,"1",0,"D"
"20151",2905654,24,0,"1",.,"A"
"20151",2905673,31,0,"1",.,"A"
"20151",2905763,39,0,"1",.,"A"
"20151",2905783,18,0,"1",.,"A"
"20151",2905803,15,0,"1",.,"A"
"20151",2905813,34,0,"1",.,"A"
"20151",2905833,23,0,"1",.,"A"
"20151",2905845,27,0,"1",.,"A"
"20151",2905893,32,0,"1",.,"A"
"20151",2905913,31,0,"1",.,"A"
"20151",2905933,22,0,"1",.,"A"
"20151",2905953,17,0,"1",.,"A"
"20151",2906013,56,0,"1",.,"A"
"20151",2906023,12,0,"1",0,"D"
"20151",2906053,55,0,"1",.,"A"
"20151",2906093,24,0,"1",.,"A"
"20151",2906113,44,0,"1",.,"A"
"20151",2906123,12,0,"1",.,"A"
"20151",2906143,19,0,"1",.,"A"
"20151",2906153,20,0,"1",.,"A"
"20151",2906173,46,0,"1",.,"A"
"20151",2906183,28,0,"1",.,"A"
"20151",2906193,24,0,"1",.,"A"
"20151",2906203,14,0,"1",.,"A"
"20151",2906223,62,0,"1",.,"A"
"20151",2906243,25,0,"1",.,"A"
"20151",2906253,14,0,"1",.,"A"
"20151",2906263,18,0,"1",.,"A"
"20151",2906275,8,0,"1",.,"A"
"20151",2906283,59,0,"1",.,"A"
"20151",2906293,32,0,"1",.,"A"
"20151",2906313,36,0,"1",.,"A"
"20151",2906323,24,0,"1",.,"A"
"20151",2906343,51,0,"1",.,"A"
"20151",2906403,37,0,"1",.,"A"
"20151",2906413,18,0,"1",.,"A"
"20151",2906463,15,0,"1",.,"A"
"20151",2906493,16,0,"1",.,"A"
