"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","JMKPURQV","JMKP_RQV","JNONFDQV","JNON_DQV","JOTHSTQV","JOTH_TQV","JDINEOQV","JDIN_OQV","JALOUTQV","JALO_TQV","JMLPAYQV","JMLP_YQV","JSCHMLQV","JSCH_LQV","JMKGRCQV","JMKG_CQV","JALHOMQV","JALH_MQV","CIGARETX","CIGA_ETX","JCIGARQV","JCIG_RQV","JOTBACQV","JOTB_CQV","OTHTBACX","OTHT_ACX"
"20142",2788412,63,0,"1",4550,"D",195,"D",.,"A",780,"D",.,"A",.,"A",.,"A",4355,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2788432,8,0,"1",286,"D",78,"D",.,"A",0,"D",.,"A",.,"A",.,"A",208,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2788442,38,0,"1",1560,"D",195,"D",.,"A",2990,"D",9,"D",.,"A",.,"A",1365,"D",60,"D",.,"A",.,"A",.,"A",.,"A"
"20142",2788455,23,0,"1",1300,"D",390,"D",.,"A",390,"D",.,"A",.,"A",.,"A",910,"D",.,"A",38,"D",494,"D",.,"A",.,"A"
"20142",2788462,18,0,"1",4550,"D",650,"D",.,"A",0,"D",.,"A",.,"A",.,"A",3900,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2788472,24,0,"1",585,"D",65,"D",.,"A",0,"D",.,"A",.,"A",.,"A",520,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2788492,33,0,"1",195,"D",13,"D",.,"A",0,"D",.,"A",.,"A",.,"A",182,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2788502,36,0,"1",780,"D",65,"D",.,"A",0,"D",0,"D",.,"A",.,"A",715,"D",135,"D",.,"A",.,"A",.,"A",.,"A"
"20142",2788512,80,0,"1",2600,"D",390,"D",.,"A",780,"D",.,"A",.,"A",.,"A",2210,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2788522,28,0,"1",1625,"D",130,"D",.,"A",715,"D",0,"D",.,"A",.,"A",1495,"D",60,"D",.,"A",.,"A",.,"A",.,"A"
"20142",2788532,56,0,"1",780,"D",130,"D",.,"A",0,"D",0,"D",.,"A",.,"A",650,"D",1800,"D",.,"A",.,"A",.,"A",.,"A"
"20142",2788602,12,0,"1",975,"D",195,"D",.,"A",0,"D",.,"A",.,"A",.,"A",780,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2788632,39,0,"1",2600,"D",195,"D",.,"A",1300,"D",.,"A",.,"A",.,"A",2405,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2788652,30,0,"1",1560,"D",195,"D",.,"A",650,"D",.,"A",.,"A",.,"A",1365,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2788672,13,0,"1",873,"F",.,"A",.,"A",528,"F",.,"A",.,"A",.,"A",720,"F",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2788712,12,0,"1",3900,"D",1300,"D",975,"D",0,"D",.,"A",.,"A",.,"A",2600,"D",.,"A",50,"D",650,"D",.,"A",.,"A"
"20142",2788722,32,0,"1",1950,"D",260,"D",390,"D",1040,"D",90,"D",.,"A",.,"A",1690,"D",120,"D",.,"A",.,"A",.,"A",.,"A"
"20142",2788745,26,0,"1",780,"D",156,"D",.,"A",1300,"D",0,"D",.,"A",.,"A",624,"D",135,"D",.,"A",.,"A",.,"A",.,"A"
"20142",2788782,87,0,"1",2600,"D",260,"D",.,"A",260,"D",.,"A",.,"A",.,"A",2340,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2788792,30,0,"1",650,"D",390,"D",.,"A",650,"D",.,"A",.,"A",.,"A",260,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2788852,18,0,"1",1950,"D",650,"D",.,"A",2600,"D",150,"D",.,"A",.,"A",1300,"D",225,"D",.,"A",.,"A",.,"A",.,"A"
"20142",2788862,23,0,"1",2925,"D",390,"D",.,"A",1300,"D",.,"A",.,"A",.,"A",2535,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2788892,21,0,"1",520,"D",39,"D",.,"A",0,"D",.,"A",.,"A",.,"A",481,"D",.,"A",.,"A",.,"A",52,"D",4,"D"
"20142",2788902,65,0,"1",1300,"D",390,"D",260,"D",520,"D",300,"D",.,"A",260,"D",910,"D",300,"D",.,"A",.,"A",.,"A",.,"A"
"20142",2788912,17,0,"1",650,"D",0,"D",.,"A",260,"D",.,"A",.,"A",.,"A",650,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2788932,44,0,"1",1300,"D",195,"D",130,"D",260,"D",.,"A",.,"A",.,"A",1105,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2788952,20,0,"1",442,"D",65,"D",65,"D",0,"D",.,"A",.,"A",.,"A",377,"D",.,"A",.,"A",.,"A",104,"D",8,"D"
"20142",2788972,21,0,"1",1495,"D",156,"D",.,"A",0,"D",.,"A",.,"A",.,"A",1339,"D",.,"A",30,"D",390,"D",.,"A",.,"A"
"20142",2788992,19,0,"1",1625,"D",0,"D",.,"A",195,"D",.,"A",.,"A",.,"A",1625,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2789052,47,0,"1",1300,"D",0,"D",.,"A",1950,"D",135,"D",.,"A",.,"A",1300,"D",60,"D",.,"A",.,"A",.,"A",.,"A"
"20142",2789072,31,0,"1",520,"D",130,"D",65,"D",325,"D",.,"A",.,"A",.,"A",390,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2789082,110,0,"1",2600,"D",520,"D",.,"A",1300,"D",60,"D",.,"A",.,"A",2080,"D",75,"D",.,"A",.,"A",.,"A",.,"A"
"20142",2789092,47,0,"1",1950,"D",1300,"D",.,"A",2600,"D",.,"A",.,"A",.,"A",650,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2789112,56,0,"1",2600,"D",780,"D",.,"A",780,"D",90,"D",.,"A",.,"A",1820,"D",24,"D",.,"A",.,"A",.,"A",.,"A"
"20142",2789122,19,0,"1",9750,"D",2600,"D",.,"A",0,"D",.,"A",.,"A",.,"A",7150,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2789132,31,0,"1",1625,"D",130,"D",.,"A",0,"D",155,"F",.,"A",.,"A",1495,"D",0,"D",.,"A",.,"A",.,"A",.,"A"
"20142",2789142,26,0,"1",780,"D",65,"D",.,"A",130,"D",.,"A",.,"A",.,"A",715,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2789152,71,0,"1",650,"D",0,"D",.,"A",260,"D",60,"D",.,"A",.,"A",650,"D",180,"D",40,"D",520,"D",.,"A",.,"A"
"20142",2789162,34,0,"1",650,"D",130,"D",.,"A",1300,"D",.,"A",.,"A",.,"A",520,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2789172,46,0,"1",1040,"D",260,"D",.,"A",780,"D",120,"D",.,"A",.,"A",780,"D",150,"D",20,"D",260,"D",.,"A",.,"A"
"20142",2789214,40,0,"1",975,"D",260,"D",.,"A",780,"D",15,"D",.,"A",.,"A",715,"D",30,"D",.,"A",.,"A",.,"A",.,"A"
"20142",2789252,46,0,"1",3250,"D",975,"D",.,"A",390,"D",0,"D",.,"A",180,"D",2275,"D",150,"D",60,"D",780,"D",975,"D",75,"D"
"20142",2789272,23,0,"1",520,"D",0,"D",.,"A",0,"D",.,"A",.,"A",.,"A",520,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2789282,26,0,"1",1292,"F",.,"A",.,"A",2600,"D",.,"A",.,"A",.,"A",1048,"F",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2789302,18,0,"1",520,"D",278,"F",.,"A",507,"F",.,"A",.,"A",.,"A",1048,"F",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2789322,42,0,"1",975,"D",169,"D",.,"A",130,"D",.,"A",.,"A",.,"A",806,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2789332,37,0,"1",2600,"D",325,"D",.,"A",650,"D",.,"A",.,"A",.,"A",2275,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2789382,48,0,"1",1170,"D",455,"D",.,"A",1300,"D",15,"D",.,"A",.,"A",715,"D",60,"D",.,"A",.,"A",.,"A",.,"A"
"20142",2789402,26,0,"1",1625,"D",260,"D",.,"A",910,"D",.,"A",.,"A",.,"A",1365,"D",.,"A",30,"D",390,"D",.,"A",.,"A"
"20142",2789422,45,0,"1",3900,"D",291,"F",270,"F",0,"D",.,"A",.,"A",.,"A",1188,"F",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2789432,25,0,"1",1300,"D",260,"D",.,"A",130,"D",.,"A",.,"A",.,"A",1040,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2789462,32,0,"1",1430,"D",195,"D",.,"A",0,"D",6,"D",.,"A",.,"A",1235,"D",90,"D",.,"A",.,"A",.,"A",.,"A"
"20142",2789472,28,0,"1",2002,"D",598,"D",.,"A",1105,"D",.,"A",.,"A",.,"A",1404,"D",.,"A",0,"D",0,"D",.,"A",.,"A"
"20142",2789492,10,0,"1",650,"D",65,"D",.,"A",130,"D",.,"A",.,"A",.,"A",585,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2789502,68,0,"1",3250,"D",1625,"D",.,"A",1300,"D",.,"A",.,"A",.,"A",1625,"D",.,"A",.,"A",.,"A",364,"D",28,"D"
"20142",2789522,18,0,"1",1040,"D",390,"D",195,"D",0,"D",0,"D",.,"A",.,"A",650,"D",120,"D",50,"D",650,"D",.,"A",.,"A"
"20142",2789552,17,0,"1",1300,"D",195,"D",.,"A",0,"D",.,"A",.,"A",.,"A",1105,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2789612,21,0,"1",390,"D",130,"D",130,"D",130,"D",.,"A",.,"A",.,"A",260,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
"20142",2789622,24,0,"1",1950,"D",260,"D",.,"A",1950,"D",.,"A",.,"A",.,"A",1690,"D",.,"A",.,"A",.,"A",260,"D",20,"D"
"20142",2789672,48,0,"1",1170,"D",260,"D",.,"A",845,"D",120,"D",.,"A",.,"A",910,"D",180,"D",.,"A",.,"A",.,"A",.,"A"
"20142",2789702,33,0,"1",650,"D",65,"D",.,"A",455,"D",0,"D",.,"A",.,"A",585,"D",90,"D",.,"A",.,"A",26,"D",2,"D"
"20142",2789742,57,0,"1",1300,"D",195,"D",.,"A",325,"D",.,"A",.,"A",.,"A",1105,"D",.,"A",.,"A",.,"A",.,"A",.,"A"
