"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","S17CODEA","S17C_DEA","S17GFTCA","S17G_TCA","SUBEXPX","SUBEXPX_","SUBMO","SUBMO_"
"20141",2651385,61,0,"1","150","D","1","D",75,"D","10","D"
"20141",2651385,62,0,"1","150","D","1","D",75,"D","11","D"
"20141",2651385,63,0,"1","150","D","1","D",50,"D","12","D"
"20141",2651385,64,0,"1","310","D","1","D",200,"D","12","D"
"20141",2651385,65,0,"1","350","D","1","D",10,"D","12","D"
"20141",2651385,66,0,"1","400","D","1","D",80,"D","12","D"
"20141",2651425,27,0,"1","150","D","1","D",85,"D","11","D"
"20141",2651445,37,0,"1","150","D","1","D",12,"D","12","D"
"20141",2651445,38,0,"1","210","D","1","D",20,"D","12","D"
"20141",2651455,21,0,"1","360","D","1","D",8,"D","10","D"
"20141",2651455,22,0,"1","360","D","1","D",8,"D","11","D"
"20141",2651455,23,0,"1","360","D","1","D",8,"D","10","D"
"20141",2651455,24,0,"1","360","D","1","D",8,"D","11","D"
"20141",2651485,33,0,"1","840","D","1","D",55,"D","11","D"
"20141",2651485,34,0,"1","510","D","1","D",40,"D","11","D"
"20141",2651485,35,0,"1","210","D","1","D",35,"D","12","D"
"20141",2651485,36,0,"1","310","D","1","D",27,"D","12","D"
"20141",2651505,24,0,"1","340","D","1","D",5,"D","11","D"
"20141",2651505,25,0,"1","360","D","1","D",10,"D","13","D"
"20141",2651535,15,0,"1","510","D","1","D",30,"D","12","D"
"20141",2651535,16,0,"1","340","D","1","D",20,"D","11","D"
"20141",2651535,17,0,"1","350","D","1","D",8,"D","13","D"
"20141",2651595,47,0,"1","500","D","1","D",430,"D","12","D"
"20141",2651615,32,0,"1","830","D","1","D",93,"D","13","D"
"20141",2651615,33,0,"1","600","D","1","D",13,"D","12","D"
"20141",2651625,34,0,"1","830","D","1","D",10,"D","13","D"
"20141",2651625,35,0,"1","510","D","1","D",20,"D","11","D"
"20141",2651625,36,0,"1","510","D","1","D",20,"D","12","D"
"20141",2651625,37,0,"1","210","D","1","D",35,"D","12","D"
"20141",2651625,38,0,"1","360","D","1","D",10,"D","13","D"
"20141",2651745,20,0,"1","350","D","1","D",3,"D","13","D"
"20141",2651825,26,0,"1","830","D","1","D",50,"D","13","D"
"20141",2651845,34,0,"1","150","D","1","D",85,"D","12","D"
"20141",2651845,35,0,"1","210","D","1","D",6,"D","10","D"
"20141",2651845,36,0,"1","210","D","1","D",6,"D","11","D"
"20141",2651845,37,0,"1","210","D","1","D",6,"D","12","D"
"20141",2651845,38,0,"1","320","D","1","D",5,"D","10","D"
"20141",2651845,39,0,"1","320","D","1","D",5,"D","11","D"
"20141",2651845,40,0,"1","320","D","1","D",5,"D","12","D"
"20141",2651875,21,0,"1","840","D","1","D",55,"D","12","D"
"20141",2651875,22,0,"1","150","D","1","D",4,"D","10","D"
"20141",2651875,23,0,"1","150","D","1","D",4,"D","11","D"
"20141",2651875,24,0,"1","150","D","1","D",4,"D","12","D"
"20141",2651895,24,0,"1","610","D","1","D",325,"D","10","D"
"20141",2651895,25,0,"1","150","D","1","D",6,"D","10","D"
