"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","EDUC_AY","EDUC_AY_","EDUCGFTC","EDUC_FTC","EDSCHL_A","EDSC_L_A","EDMONTHA","EDMO_THA","EDREIMBX","EDRE_MBX","JEDUCNET","JEDU_NET","EDUC_A1","EDUC_A1_","EDUC_A2","EDUC_A2_","EDUC_A3","EDUC_A3_","EDUC_A4","EDUC_A4_","EDUC_A5","EDUC_A5_","EDUC_A6","EDUC_A6_","EDUC_A7","EDUC_A7_","EDUC_A8","EDUC_A8_","EDUC_A9","EDUC_A9_"
"20144",2932632,7,0,"1","350","D","1","D","2","D","10","D",.,"A",20,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2932632,8,0,"2","350","D","1","D","2","D","08","D",.,"A",20,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2932652,6,0,"1","320","D","1","D",,"A","13","D",.,"A",20,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2932662,7,0,"1","200","D","1","D",,"A","13","D",.,"A",160,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2932702,21,0,"1","100","D","1","D",,"A","09","D",.,"A",600,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2932702,22,0,"1","100","D","1","D",,"A","10","D",.,"A",200,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2932702,23,0,"1","350","D","1","D","2","D","09","D",.,"A",100,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2932702,24,0,"1","320","D","1","D",,"A","13","D",.,"A",200,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2932702,25,0,"2","100","D","1","D",,"A","08","D",.,"A",1650,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2932804,1,0,"1","350","D","1","D","1","D","08","D",.,"A",250,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2932812,8,0,"2","350","D","1","D","2","D","08","D",.,"A",120,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2932902,6,0,"1","300","D","1","D","6","D","10","D",.,"A",80,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2932952,14,0,"1","100","D","1","D",,"A","13","D",.,"A",300,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2932952,15,0,"1","100","D","1","D",,"A","09","D",.,"A",1000,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2933102,10,0,"1","300","D","1","D","1","D","10","D",.,"A",70,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2933122,2,0,"1","300","D","1","D","2","D","13","D",.,"A",1342,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2933122,3,0,"1","320","D","1","D",,"A","13","D",.,"A",20,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2933132,12,0,"1","100","D","1","D",,"A","13","D",.,"A",55,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2933132,13,0,"1","310","D","1","D",,"A","13","D",.,"A",1000,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2933132,14,0,"1","345","D","1","D",,"A","09","D",.,"A",60,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2933132,15,0,"1","350","D","1","D","1","D","09","D",.,"A",300,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2933232,4,0,"1","100","D","1","D",,"A","13","D",.,"A",30,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2933262,2,0,"1","360","D","1","D",,"A","10","D",.,"A",10,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2933522,4,0,"1","200","D","1","D",,"A","13","D",.,"A",240,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
"20144",2933572,6,0,"1","200","D","1","D",,"A","13","D",.,"A",1320,"D",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A",,"A"
