"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOH","PROP0NOH","OWNYH","OWNYH_","PAIDLOAN","PAID_OAN","PRIMPLUS","PRIM_LUS","JINTPDX","JINTPDX_","JLCPRINX","JLCP_INX","LOAN_NOH","LOAN0NOH","TOTOWED","TOTOWED_"
"20141",2748112,23,0,"5","01","D","100","D","1","D",0.0475,"D",238,"F",662,"F","01","D",20000,"F"
"20141",2748192,21,0,"1","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",0,"D"
"20141",2748282,76,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",0,"D"
"20141",2749172,32,0,"5","01","D","100","D","1","D",0.0475,"D",177,"D",123,"D","01","D",14900,"D"
"20141",2749782,24,0,"1","01","D","200","D","1","D",0.0475,"D",178,"D",972,"D","01","D",15000,"D"
"20141",2749802,15,0,"1","01","D","100","D","1","D",0.0475,"D",321,"D",429,"D","01","D",27000,"D"
"20141",2750522,56,0,"5","01","D","100","D","1","D",0.0475,"D",713,"D",1059,"D","01","D",60000,"D"
"20141",2751332,29,0,"5","01","D","100","D","1","D",0.0475,"D",380,"D",430,"D","01","D",32000,"D"
"20141",2751372,37,0,"5","01","D","100","D","1","D",0.0475,"D",428,"D",1072,"D","01","D",36000,"D"
"20141",2751502,54,0,"5","01","D","100","D","1","D",0.0475,"D",100,"D",1919,"D","01","D",8451,"D"
"20141",2751572,30,0,"5","01","D","100","D","1","D",0.0475,"D",261,"D",2739,"D","01","D",22000,"D"
"20141",2751612,12,0,"5","01","D","100","D","2","D",0.0475,"D",557,"F",-32,"F","01","D",46886,"F"
"20141",2751872,21,0,"5","01","D","100","D","1","D",0.0475,"D",641,"D",1459,"D","01","D",54000,"D"
"20141",2752042,37,0,"5","01","D","100","D","1","D",0.0475,"D",861,"D",639,"D","01","D",72500,"D"
"20141",2752232,33,0,"5","01","D","100","D","1","D",0.0475,"D",23,"D",1877,"D","01","D",1900,"D"
"20141",2752342,38,0,"5","01","D","100","D","1","D",0.0475,"D",42,"D",558,"D","01","D",3500,"D"
"20141",2752772,19,0,"1","01","D","100","D","1","D",0.0475,"D",1188,"D",1512,"D","01","D",100000,"D"
"20141",2752822,27,0,"1","01","D","100","D","1","D",0.0475,"D",867,"F",-207,"F","01","D",73000,"F"
"20141",2753402,20,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",1500,"D"
"20141",2753612,7,0,"1","01","D","100","D","2","D",0.0475,"D",78,"F",522,"F","01","D",6600,"F"
"20141",2754242,12,0,"5","01","D","100","D","1","D",0.0475,"D",4,"D",346,"D","01","D",350,"D"
"20141",2754652,48,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",330551,"T"
"20141",2754742,67,0,"5","01","D","100","D","1","D",0.0475,"D",199,"D",1027,"D","01","D",16794,"D"
"20141",2754992,31,0,"5","01","D","100","D","1","D",0.0475,"D",1116,"F",-516,"F","01","D",94000,"F"
"20141",2755032,15,0,"1","01","D","100","D","1","D",0.0475,"D",118,"F",482,"F","01","D",9900,"F"
"20141",2755362,32,0,"5","01","D","100","D","1","D",0.0475,"D",148,"D",1102,"D","01","D",12500,"D"
"20141",2755932,19,0,"5","01","D","100","D","2","D",0.0475,"D",.,"A",.,"A","01","D",0,"D"
