"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","PROP_NOG","PROP0NOG","OWNYG","OWNYG_","NEWMRTG","NEWMRTG_","ORGMRTG","ORGMRTG_","QMRTTRMG","QMRT_RMG","MRTPMTG","MRTPMTG_","PAYPRTXG","PAYP_TXG","PAYPRING","PAYP_ING","PAYMRING","PAYM_ING","PAYOTHRG","PAYO_HRG","QESCROWG","QESC_OWG","QPRINM1G","QPRI_M1G","QPRINM2G","QPRI_M2G","QPRINM3G","QPRI_M3G","QADINT1G","QADI_T1G","QADINT2G","QADI_T2G","QADINT3G","QADI_T3G","QRFINDTG","QRFI_DTG","FRSTPYMG","FRST_YMG","FRSTPYRG","FRST_YRG","FIXDRTEG","FIXD_TEG","QNEWDATG","QNEW_ATG","QBLNCM1G","QBLN_M1G","QBLNCM2G","QBLN_M2G","QBLNCM3G","QBLN_M3G","LOAN_NOG","LOAN0NOG","VARRTEG","VARRTEG_","INTONLYG","INTO_LYG","OTHRTEG","OTHRTEG_","PAYMT1G","PAYMT1G_","PAYMT2G","PAYMT2G_","PAYMT3G","PAYMT3G_","PAYPRNPG","PAYP_NPG","PAYINTG","PAYINTG_"
"20144",2777675,16,0,"5","01","D","100","D",0.05,"F",18856,"F",10,"F",200,"F",,"C",,"C",,"C",,"C",0,"F",187,"F",188,"F",189,"F",13,"F",12,"F",11,"F",,"A","11","F","2005","F","1","F",,"A",3089,"F",2902,"F",2714,"F","01","D",,"C",,"C",,"C",.,"A",.,"A",.,"A",,"C",,"A"
"20144",2777885,24,0,"5","01","D","100","D",0.06,"F",100000,"F",15,"F",844,"F",,"A",,"A",,"A",,"A",0,"F",488,"F",490,"F",493,"F",51,"F",49,"F",46,"F",,"A","03","F","2001","F","2","F",,"A",16023,"F",15259,"F",14491,"F","01","D",,"C",,"C",,"C",539,"F",539,"F",539,"F","1","D","2","D"
"20144",2779005,44,0,"5","01","D","100","D",0.064,"D",17693,"D",10,"D",200,"D",,"A",,"A",,"A",,"A",0,"D",171,"D",172,"D",173,"D",26,"D",25,"D",24,"D",,"A","02","D","2007","D","1","D",,"A",5361,"D",5189,"D",5017,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2780745,37,0,"5","01","D","100","D",0.0865,"D",25000,"D",10,"D",375,"D",,"B",,"B",,"B",,"B",63,"D",.,"A",132,"D",133,"D",.,"A",180,"D",179,"D",,"A","10","D","2014","D","1","D",,"A",.,"A",25000,"D",24868,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2781634,23,0,"5","01","D","100","D",0.045,"D",50000,"D",15,"D",399,"D",,"B",,"B",,"B",,"B",17,"D",243,"D",244,"D",245,"D",139,"D",138,"D",137,"D",,"A","07","D","2009","D","1","D",,"A",36940,"D",36697,"D",36452,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2784344,22,0,"5","01","D","100","D",0.0859,"D",100000,"D",10,"D",1245,"D",,"A",,"A",,"A",,"A",0,"D",635,"D",639,"D",644,"D",113,"D",109,"D",104,"D",,"A","06","D","2006","D","2","D",,"A",26309,"D",25252,"D",24188,"D","01","D","1","D",,"A",,"A",748,"D",748,"D",748,"D","1","D","2","D"
"20144",2786304,5,0,"1","01","D","100","D",0.043,"F",125421,"F",20,"F",780,"F",,"A",,"A",,"A",,"A",0,"F",.,"A",.,"A",331,"F",.,"A",.,"A",449,"F",,"A","10","F","2014","F","1","F","102014","F",.,"A",.,"A",125421,"F","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2787214,61,0,"5","01","D","100","D",0.065,"D",109000,"D",15,"D",950,"D",,"A",,"A",,"A",,"A",0,"D",427,"D",430,"D",432,"D",523,"D",520,"D",518,"D",,"A","11","D","2011","D","1","D",,"A",96473,"D",96045,"D",95616,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2788784,54,0,"5","01","D","100","D",0.0675,"D",29619,"D",14,"D",273,"D",,"A",,"A",,"A",,"A",0,"D",180,"D",181,"D",182,"D",93,"D",92,"D",91,"D",,"A","09","D","2006","D","1","D",,"A",16487,"D",16307,"D",16125,"D","01","D",,"A",,"A",,"A",.,"A",.,"A",.,"A","1","D","2","D"
"20144",2789254,30,0,"5","01","D","100","D",0.06,"D",100000,"D",15,"D",844,"D",,"A",,"A",,"A",,"A",0,"D",488,"D",490,"D",493,"D",51,"D",49,"D",46,"D",,"A","03","D","2001","D","2","D",,"A",16023,"D",15259,"D",14491,"D","01","D","1","D",,"A",,"A",539,"D",539,"D",539,"D","1","D","2","D"
