"QYEAR","NEWID","SEQNO","ALCNO","REC_ORIG","VOPREGY","VOPREGY_","VOPMO_C","VOPMO_C_","VOPREGX","VOPREGX_","VOPRGY1","VOPRGY1_","VOPRGY2","VOPRGY2_","VOPRGY3","VOPRGY3_","VOPRGY4","VOPRGY4_"
"20143",2810893,30,0,"1","410","D","06","D",40,"D",,"A",,"A",,"A",,"A"
"20143",2811053,34,0,"1","420","D","06","D",39,"D",,"A",,"A",,"A",,"A"
"20143",2811053,35,0,"2","410","D","06","D",40,"D",,"A",,"A",,"A",,"A"
"20143",2811063,63,0,"1","400","D","08","D",36,"D",,"A",,"A",,"A",,"A"
"20143",2811093,45,0,"1","420","D","08","D",75,"D",,"A",,"A",,"A",,"A"
"20143",2811143,35,0,"1","420","D","06","D",360,"D",,"A",,"A",,"A",,"A"
"20143",2811153,28,0,"1","420","D","08","D",35,"D",,"A",,"A",,"A",,"A"
"20143",2811283,30,0,"1","420","D","08","D",68,"D",,"A",,"A",,"A",,"A"
"20143",2811413,62,0,"1","420","D","07","D",92,"D",,"A",,"A",,"A",,"A"
"20143",2811413,63,0,"2","420","D","06","D",70,"D",,"A",,"A",,"A",,"A"
"20143",2811523,37,0,"1","420","D","08","D",180,"D",,"A",,"A",,"A",,"A"
"20143",2811873,47,0,"1","420","D","07","D",198,"D",,"A",,"A",,"A",,"A"
"20143",2811883,56,0,"1","400","D","08","D",30,"D",,"A",,"A",,"A",,"A"
"20143",2811883,57,0,"1","420","D","08","D",185,"D",,"A",,"A",,"A",,"A"
"20143",2811913,38,0,"1","400","D","07","D",25,"D",,"A",,"A",,"A",,"A"
"20143",2811943,47,0,"1","410","D","07","D",58,"D",,"A",,"A",,"A",,"A"
"20143",2812053,67,0,"1","420","D","07","D",169,"D",,"A",,"A",,"A",,"A"
"20143",2812053,68,0,"2","400","D","06","D",35,"D",,"A",,"A",,"A",,"A"
"20143",2812253,51,0,"1","420","D","07","D",71,"D",,"A",,"A",,"A",,"A"
"20143",2812253,52,0,"1","405","D","07","D",158,"D",,"A",,"A",,"A",,"A"
"20143",2812533,71,0,"1","420","D","07","D",58,"D",,"A",,"A",,"A",,"A"
"20143",2812533,72,0,"1","420","D","06","D",36,"D",,"A",,"A",,"A",,"A"
"20143",2812953,32,0,"1","420","D","06","D",145,"D",,"A",,"A",,"A",,"A"
"20143",2813033,41,0,"1","420","D","08","D",123,"D",,"A",,"A",,"A",,"A"
