"UCC","AMOUNT","IMPNUM","NEWID","PUB_FLAG","AMOUNT_"
"980000",55000,"4",2934021,"1",
"980000",55000,"5",2934021,"1",
"980070",58280,"1",2934021,"1",
"980070",58280,"2",2934021,"1",
"980070",58280,"3",2934021,"1",
"980070",58280,"4",2934021,"1",
"980070",58280,"5",2934021,"1",
"900000",55000,"1",2934022,"1",
"900000",55000,"2",2934022,"1",
"900000",55000,"3",2934022,"1",
"900000",55000,"4",2934022,"1",
"900000",55000,"5",2934022,"1",
"980000",55000,"1",2934022,"1",
"980000",55000,"2",2934022,"1",
"980000",55000,"3",2934022,"1",
"980000",55000,"4",2934022,"1",
"980000",55000,"5",2934022,"1",
"980070",58280,"1",2934022,"1",
"980070",58280,"2",2934022,"1",
"980070",58280,"3",2934022,"1",
"980070",58280,"4",2934022,"1",
"980070",58280,"5",2934022,"1",
"900030",25918,"1",2934042,"1",
"900030",25918,"2",2934042,"1",
"900030",25918,"3",2934042,"1",
"900030",25918,"4",2934042,"1",
"900030",25918,"5",2934042,"1",
"900180",3000,"1",2934042,"1",
"900180",3000,"2",2934042,"1",
"900180",3000,"3",2934042,"1",
"900180",3000,"4",2934042,"1",
"900180",3000,"5",2934042,"1",
"980000",28918,"1",2934042,"1",
"980000",28918,"2",2934042,"1",
"980000",28918,"3",2934042,"1",
"980000",28918,"4",2934042,"1",
"980000",28918,"5",2934042,"1",
"980070",28918,"1",2934042,"1",
"980070",28918,"2",2934042,"1",
"980070",28918,"3",2934042,"1",
"980070",28918,"4",2934042,"1",
"980070",28918,"5",2934042,"1",
"900000",26371,"1",2934071,"1",
"900000",36390,"2",2934071,"1",
"900000",10482,"3",2934071,"1",
"900000",26314,"4",2934071,"1",
"900000",20364,"5",2934071,"1",
"980000",26371,"1",2934071,"1",
"980000",36390,"2",2934071,"1",
"980000",10482,"3",2934071,"1",
"980000",26314,"4",2934071,"1",
"980000",20364,"5",2934071,"1",
"980070",26371,"1",2934071,"1",
"980070",36390,"2",2934071,"1",
"980070",10482,"3",2934071,"1",
"980070",26314,"4",2934071,"1",
"980070",20364,"5",2934071,"1",
"900000",25949,"1",2934081,"1",
"900000",14171,"2",2934081,"1",
"900000",30699,"3",2934081,"1",
"900000",50190,"4",2934081,"1",
"900000",23933,"5",2934081,"1",
"980000",25949,"1",2934081,"1",
"980000",14171,"2",2934081,"1",
"980000",30699,"3",2934081,"1",
"980000",50190,"4",2934081,"1",
"980000",23933,"5",2934081,"1",
"980070",25949,"1",2934081,"1",
"980070",14171,"2",2934081,"1",
"980070",30699,"3",2934081,"1",
"980070",50190,"4",2934081,"1",
"980070",23933,"5",2934081,"1",
"900000",29526,"1",2934082,"1",
"900000",71040,"2",2934082,"1",
"900000",35055,"3",2934082,"1",
"900000",33671,"4",2934082,"1",
"900000",19327,"5",2934082,"1",
"980000",29526,"1",2934082,"1",
"980000",71040,"2",2934082,"1",
"980000",35055,"3",2934082,"1",
"980000",33671,"4",2934082,"1",
"980000",19327,"5",2934082,"1",
"980070",29526,"1",2934082,"1",
"980070",71040,"2",2934082,"1",
"980070",35055,"3",2934082,"1",
"980070",33671,"4",2934082,"1",
"980070",19327,"5",2934082,"1",
"900000",10000,"1",2934091,"1",
"900000",8059,"2",2934091,"1",
"900000",23152,"3",2934091,"1",
"900000",31957,"4",2934091,"1",
"900000",76602,"5",2934091,"1",
"980000",10000,"1",2934091,"1",
"980000",8059,"2",2934091,"1",
"980000",23152,"3",2934091,"1",
"980000",31957,"4",2934091,"1",
"980000",76602,"5",2934091,"1",
"980070",10000,"1",2934091,"1",
"980070",8059,"2",2934091,"1",
"980070",23152,"3",2934091,"1",
"980070",31957,"4",2934091,"1",
"980070",76602,"5",2934091,"1",
"900000",31638,"1",2934092,"1",
"900000",10358,"2",2934092,"1",
"900000",27461,"3",2934092,"1",
"900000",52000,"4",2934092,"1",
"900000",38601,"5",2934092,"1",
"980000",31638,"1",2934092,"1",
"980000",10358,"2",2934092,"1",
"980000",27461,"3",2934092,"1",
"980000",52000,"4",2934092,"1",
"980000",38601,"5",2934092,"1",
"980070",31638,"1",2934092,"1",
"980070",10358,"2",2934092,"1",
"980070",27461,"3",2934092,"1",
"980070",52000,"4",2934092,"1",
"980070",38601,"5",2934092,"1",
"900000",50000,"1",2934101,"1",
"900000",50000,"2",2934101,"1",
"900000",50000,"3",2934101,"1",
"900000",50000,"4",2934101,"1",
"900000",50000,"5",2934101,"1",
"900140",20000,"1",2934101,"1",
"900140",20000,"2",2934101,"1",
"900140",20000,"3",2934101,"1",
"900140",20000,"4",2934101,"1",
"900140",20000,"5",2934101,"1",
"980000",70000,"1",2934101,"1",
"980000",70000,"2",2934101,"1",
"980000",70000,"3",2934101,"1",
"980000",70000,"4",2934101,"1",
"980000",70000,"5",2934101,"1",
"980070",72700,"1",2934101,"1",
"980070",72700,"2",2934101,"1",
"980070",72700,"3",2934101,"1",
"980070",72700,"4",2934101,"1",
"980070",72700,"5",2934101,"1",
"900000",50000,"1",2934102,"1",
"900000",50000,"2",2934102,"1",
"900000",50000,"3",2934102,"1",
"900000",50000,"4",2934102,"1",
"900000",50000,"5",2934102,"1",
"900140",20000,"1",2934102,"1",
"900140",20000,"2",2934102,"1",
"900140",20000,"3",2934102,"1",
"900140",20000,"4",2934102,"1",
"900140",20000,"5",2934102,"1",
"980000",70000,"1",2934102,"1",
"980000",70000,"2",2934102,"1",
"980000",70000,"3",2934102,"1",
"980000",70000,"4",2934102,"1",
"980000",70000,"5",2934102,"1",
"980070",72700,"1",2934102,"1",
"980070",72700,"2",2934102,"1",
"980070",72700,"3",2934102,"1",
"980070",72700,"4",2934102,"1",
"980070",72700,"5",2934102,"1",
"900030",16319,"1",2934111,"1",
"900030",16319,"2",2934111,"1",
"900030",16319,"3",2934111,"1",
"900030",16319,"4",2934111,"1",
"900030",16319,"5",2934111,"1",
"980000",16319,"1",2934111,"1",
"980000",16319,"2",2934111,"1",
"980000",16319,"3",2934111,"1",
"980000",16319,"4",2934111,"1",
"980000",16319,"5",2934111,"1",
"980070",16319,"1",2934111,"1",
"980070",16319,"2",2934111,"1",
"980070",16319,"3",2934111,"1",
"980070",16319,"4",2934111,"1",
"980070",16319,"5",2934111,"1",
"900030",16319,"1",2934112,"1",
"900030",16319,"2",2934112,"1",
"900030",16319,"3",2934112,"1",
"900030",16319,"4",2934112,"1",
"900030",16319,"5",2934112,"1",
"980000",16319,"1",2934112,"1",
"980000",16319,"2",2934112,"1",
"980000",16319,"3",2934112,"1",
"980000",16319,"4",2934112,"1",
"980000",16319,"5",2934112,"1",
"980070",16319,"1",2934112,"1",
"980070",16319,"2",2934112,"1",
"980070",16319,"3",2934112,"1",
"980070",16319,"4",2934112,"1",
"980070",16319,"5",2934112,"1",
"900000",90000,"1",2934131,"1",
